nom_epci,nb_coproprietes,niveau
CA Étampois Sud Essonne,880,Moyen
Métropole du Grand Paris,1611,Élevé
CA Communauté Paris-Saclay,3456,Élevé
CA Coeur d'Essonne Agglomération,1970,Élevé
CA Val d'Yerres Val de Seine,1483,Élevé
CA Grand Paris Sud Seine Essonne Sénart,1896,Élevé
CC l'Orée de la Brie,15,Faible
CA Versailles Grand Parc (CAVGP),85,Faible
CC du Pays de Limours (CCPL),294,Moyen
CC des 2 Vallées,204,Faible
CC du Val d'Essonne (CCVE),702,Moyen
CC Entre Juine et Renarde (CCEJR),349,Moyen
CC le Dourdannais en Hurepoix (CCDH),305,Moyen
Métropole du Grand Paris,25581,Élevé
Métropole du Grand Paris,47625,Élevé
Métropole du Grand Paris,20056,Élevé
CC Les Portes Briardes Entre Villes et Forêts,461,Moyen
CC Pays de Nemours,267,Faible
CC Gâtinais Val de Loing,70,Faible
CC Plaines et Monts de France,166,Faible
CC du Provinois,253,Faible
CC Bassée-Montois,62,Faible
CA Roissy Pays de France,1047,Élevé
CA Paris - Vallée de la Marne,1739,Élevé
CA Grand Paris Sud Seine Essonne Sénart,617,Moyen
CC Brie des Rivières et Châteaux,355,Moyen
CA du Pays de Meaux,997,Moyen
CA du Pays de Fontainebleau,1120,Élevé
CC des Deux Morin,98,Faible
CC Val Briard,235,Faible
CA Coulommiers Pays de Brie,795,Moyen
CC Moret Seine et Loing,364,Moyen
CA Melun Val de Seine,1399,Élevé
CC du Pays de l'Ourcq,96,Faible
CC Pays de Montereau,353,Moyen
CA Val d'Europe Agglomération,474,Moyen
CA Marne et Gondoire,1025,Moyen
CC l'Orée de la Brie,338,Moyen
CC Brie Nangissienne,157,Faible
CC Vexin Centre,185,Faible
Métropole du Grand Paris,1192,Élevé
CA Roissy Pays de France,1403,Élevé
CA Plaine Vallée,1939,Élevé
CA Val Parisis,2399,Élevé
CA Saint Germain Boucles de Seine,336,Moyen
CC Carnelle Pays-de-France,325,Moyen
CA de Cergy-Pontoise,1472,Élevé
CC Sausseron Impressionnistes,200,Faible
CC de la Vallée de l'Oise et des Trois Forêts,405,Moyen
CC du Haut Val d'Oise,389,Moyen
CC du Vexin-Val de Seine,130,Faible
Métropole du Grand Paris,19513,Élevé
CC de la Haute Vallée de Chevreuse,265,Faible
CC Gally Mauldre,198,Faible
CA Val Parisis,1,Faible
CA Saint Germain Boucles de Seine,4785,Élevé
CA de Saint Quentin en Yvelines,1188,Élevé
CU Grand Paris Seine et Oise,3664,Élevé
CC Les Portes de l'Ile de France,127,Faible
CA Rambouillet Territoires,829,Moyen
CC du Pays Houdanais (CCPH),252,Faible
CA Versailles Grand Parc (CAVGP),3909,Élevé
CC Coeur d'Yvelines,539,Moyen
CA de Cergy-Pontoise,59,Faible
